Service Name,Physical Address,Suburb,Physical State,Postal Code,2018 Aged Care Planning Region (ACPR) Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2016 LGA Name,2016 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude,2023/24 FY Australian Government Funding,Overall Star Rating,Residents' Experience rating,Compliance rating,Staffing rating,Quality Measures rating
Goodwin Farrer (George Sautelle House),"22 Marshall STREET, FARRER, ACT, 2607",FARRER,ACT,2607,801,ACT,Residential,81,0,0,Goodwin Aged Care Services Limited,Charitable,Major Cities of Australia,1,81101,Farrer,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.37329768,149.10152197,6605066.28,4.0,4.0,5.0,3.0,5.0
Calvary Haydon Retirement Community,"2 Jaeger CIRCUIT, BRUCE, ACT, 2617",BRUCE,ACT,2617,801,ACT,Residential,100,0,0,Calvary Retirement Communities Limited,Religious,Major Cities of Australia,1,81003,Bruce,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.251215,149.08761,8903796.71,4.0,4.0,5.0,3.0,2.0
IRT Kangara Waters,"2 Joy Cummings PLACE, BELCONNEN, ACT, 2617",BELCONNEN,ACT,2617,801,ACT,Residential,100,0,0,Illawarra Retirement Trust,Community Based,Major Cities of Australia,1,81002,Belconnen,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.23337003,149.07791233,8916232.55,4.0,4.0,5.0,3.0,4.0
Goodwin Ainslie (Goodwin House),"31 Bonney STREET, AINSLIE, ACT, 2602",AINSLIE,ACT,2602,801,ACT,Residential,108,0,0,Goodwin Aged Care Services Limited,Charitable,Major Cities of Australia,1,81054,Dickson,80105,North Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.2593837,149.1365341,8585104.02,4.0,4.0,4.0,3.0,4.0
Villaggio Sant Antonio Hostel,"35 Burkitt STREET, PAGE, ACT, 2614",PAGE,ACT,2614,801,ACT,Residential,110,0,0,Villaggio Italiano Ltd,Community Based,Major Cities of Australia,1,81023,Page,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.236276,149.051896,8963327.81,3.0,4.0,4.0,3.0,2.0
Canberra Aged Care Facility,"48 Archibald STREET, LYNEHAM, ACT, 2602",LYNEHAM,ACT,2602,801,ACT,Residential,114,0,0,Bunyundah Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,81057,Lyneham,80105,North Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.24461589,149.12233791,8394512.76,,,,,
Fred Ward Gardens,"38 Theodore STREET, CURTIN, ACT, 2605",CURTIN,ACT,2605,801,ACT,Residential,115,0,0,RSL LifeCare Limited,Community Based,Major Cities of Australia,1,81100,Curtin,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.32962376,149.08102956,10694089.31,4.0,3.0,5.0,3.0,3.0
Goodwin Monash,"27 Cockcroft AVENUE, MONASH, ACT, 2904",MONASH,ACT,2904,801,ACT,Residential,120,0,0,Goodwin Aged Care Services Limited,Charitable,Major Cities of Australia,1,81084,Monash,80107,Tuggeranong,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.41811575,149.09709558,9825097.77,4.0,3.0,5.0,3.0,5.0
Uniting Amala Gordon ACT,"200 Woodcock DRIVE, GORDON, ACT, 2906",GORDON,ACT,2906,801,ACT,Residential,122,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,81078,Gordon (ACT),80107,Tuggeranong,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.456364,149.088887,11599486.88,4.0,3.0,5.0,3.0,3.0
Uniting Mirinjani Weston ACT,"15 Conder STREET, WESTON, ACT, 2611",WESTON,ACT,2611,801,ACT,Residential,124,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,81098,Weston,80108,Weston Creek,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.34137612,149.05753744,11429209.75,4.0,4.0,5.0,2.0,4.0
Pines Living,"272 Beasley STREET, FARRER, ACT, 2607",FARRER,ACT,2607,801,ACT,Residential,130,0,0,Pines Living Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,81101,Farrer,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.36934583,149.10637214,10196695.34,4.0,4.0,5.0,3.0,3.0
Bill McKenzie Gardens,"23 Burkitt STREET, PAGE, ACT, 2614",PAGE,ACT,2614,801,ACT,Residential,139,0,0,RSL LifeCare Limited,Community Based,Major Cities of Australia,1,81023,Page,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.23567063,149.05087072,14164716.37,3.0,3.0,5.0,2.0,2.0
Warrigal Care Stirling,"41 Fremantle DRIVE, STIRLING, ACT, 2611",STIRLING,ACT,2611,801,ACT,Residential,144,0,0,Warrigal Care,Charitable,Major Cities of Australia,1,81096,Stirling,80108,Weston Creek,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.350229,149.049586,14018272.74,4.0,4.0,5.0,2.0,3.0
Warrigal Care Calwell,"43 Were STREET, CALWELL, ACT, 2905",CALWELL,ACT,2905,801,ACT,Residential,153,0,0,Warrigal Care,Charitable,Major Cities of Australia,1,81073,Calwell,80107,Tuggeranong,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.436541,149.116772,14798839.63,3.0,4.0,4.0,2.0,3.0
BaptistCare Griffith,"45 Blaxland CRESCENT, GRIFFITH, ACT, 2603",GRIFFITH,ACT,2603,801,ACT,Residential,161,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,81064,Griffith (ACT),80106,South Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.3265914,149.138833,11878589.5,4.0,4.0,5.0,2.0,3.0
Jindalee Aged Care Residence,"277 Goyder STREET, NARRABUNDAH, ACT, 2604",NARRABUNDAH,ACT,2604,801,ACT,Residential,169,0,0,Johnson Village Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,81067,Narrabundah,80106,South Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.34166285,149.14216902,11006228.29,4.0,4.0,4.0,4.0,3.0
Warrigal Hughes,"95 Groom STREET, HUGHES, ACT, 2605",HUGHES,ACT,2605,801,ACT,Residential,176,0,0,Warrigal Care,Charitable,Major Cities of Australia,1,81103,Hughes,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.33251662,149.09176399,15022131.67,4.0,3.0,4.0,3.0,5.0
Waratah Respite Centre (Mid North Coast) Incorporated,"22 Earl STREET, COFFS HARBOUR, NSW, 2450",COFFS HARBOUR,NSW,2450,107,Mid North Coast,Residential,6,0,0,Waratah Respite Centre (Mid North Coast) Inc,Community Based,Inner Regional Australia,3,11085,Coffs Harbour - South,10402,Coffs Harbour,Coffs Harbour (C),11800,PHN109,North Coast,-30.30228329,153.11531535,315140.84,,,5.0,,
Yeoval Community Nursing Home,"1 Lord STREET, YEOVAL, NSW, 2868",YEOVAL,NSW,2868,111,Orana Far West,Residential,8,0,0,United Protestant Association of NSW Limited,Charitable,Outer Regional Australia,5,11106,Wellington,10503,Dubbo,Cabonne (A),11400,PHN107,Western NSW,-32.75028137,148.6504726,670678.82,4.0,5.0,5.0,3.0,1.0
Grace Munro Centre,"2 Thunderbolts WAY, BUNDARRA, NSW, 2359",BUNDARRA,NSW,2359,109,New England,Residential,11,0,0,Grace Munro Aged Care Centre Ltd,Charitable,Outer Regional Australia,5,11192,Inverell Region - East,11002,Inverell - Tenterfield,Uralla (A),17650,PHN108,Hunter New England and Central Coast,-30.16547668,151.07593892,1128397.39,4.0,4.0,4.0,3.0,5.0
The Whiddon Group - River Gum Lodge,"29 Darling STREET, BOURKE, NSW, 2840",BOURKE,NSW,2840,111,Orana Far West,Residential,12,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Remote Australia,6,11092,Bourke - Brewarrina,10501,Bourke - Cobar - Coonamble,Bourke (A),11150,PHN107,Western NSW,-30.08766438,145.94135522,1215848.57,4.0,4.0,5.0,3.0,3.0
Balranald Retirement Hostel,"24 Mayall STREET, BALRANALD, NSW, 2715",BALRANALD,NSW,2715,111,Orana Far West,Residential,15,0,0,Balranald Shire Council,Local Government,Outer Regional Australia,5,11179,Wentworth-Balranald Region,10902,Lower Murray,Balranald (A),10300,PHN107,Western NSW,-34.64011508,143.5614693,1492316.33,3.0,4.0,4.0,,2.0
Gummun Place,"14-18 Marquet STREET, MERRIWA, NSW, 2329",MERRIWA,NSW,2329,104,Hunter,Residential,16,0,0,Upper Hunter Shire Council,Local Government,Outer Regional Australia,5,11129,Scone Region,10604,Upper Hunter,Upper Hunter Shire (A),17620,PHN108,Hunter New England and Central Coast,-32.13872623,150.35791961,1180625.65,,5.0,4.0,,
Merton Court Hostel,"91 Virginia STREET, DENMAN, NSW, 2328",DENMAN,NSW,2328,104,Hunter,Residential,17,0,0,Merton Living Limited,Community Based,Inner Regional Australia,5,11127,Muswellbrook Region,10604,Upper Hunter,Muswellbrook (A),15650,PHN108,Hunter New England and Central Coast,-32.38966725,150.68452414,2484727.8,5.0,5.0,5.0,5.0,5.0
Hazelholme Hostel,"3-5 Lord STREET, YEOVAL, NSW, 2868",YEOVAL,NSW,2868,111,Orana Far West,Residential,17,0,0,United Protestant Association of NSW Limited,Charitable,Outer Regional Australia,5,11106,Wellington,10503,Dubbo,Cabonne (A),11400,PHN107,Western NSW,-32.75030022,148.64985862,1360005.61,,,,,
Edward River Gardens,"38 Turora STREET, MOULAMEIN, NSW, 2733",MOULAMEIN,NSW,2733,112,Riverina/Murray,Residential,17,0,0,Moulamein Retirement Village Inc,Community Based,Outer Regional Australia,5,11183,Deniliquin Region,10903,Upper Murray exc. Albury,Murray River (A),15520,PHN110,Murrumbidgee,-35.09011163,144.03620026,1522995.09,4.0,4.0,3.0,3.0,5.0
Lachlan Lodge,"48d Burns STREET, HILLSTON, NSW, 2675",HILLSTON,NSW,2675,112,Riverina/Murray,Residential,18,0,0,Lachlan Lodge Inc,Community Based,Remote Australia,6,11257,Griffith Region,11301,Griffith - Murrumbidgee (West),Carrathool (A),11600,PHN110,Murrumbidgee,-33.4794328,145.53883852,1792680.42,,5.0,4.0,,3.0
Sunhaven Hostel,"Kneipp Street, Kneipp STREET, ASHFORD, NSW, 2361",ASHFORD,NSW,2361,109,New England,Residential,18,0,0,Ashford Ageing Care Facility Inc,Charitable,Outer Regional Australia,5,11192,Inverell Region - East,11002,Inverell - Tenterfield,Inverell (A),14200,PHN108,Hunter New England and Central Coast,-29.319309,151.090848,1932826,4.0,5.0,5.0,1.0,3.0
Uralba Hostel,"50 Tor STREET, GUNDAGAI, NSW, 2722",GUNDAGAI,NSW,2722,112,Riverina/Murray,Residential,19,0,0,Gundagai and District Hostel Accommodation Inc,Community Based,Inner Regional Australia,5,11264,Gundagai,11303,Wagga Wagga,Gundagai (A),13510,PHN110,Murrumbidgee,-35.05236321,148.10219169,1324285.8,4.0,5.0,4.0,3.0,5.0
Ada Cottage,"93-95 Angus AVENUE, KANDOS, NSW, 2848",KANDOS,NSW,2848,111,Orana Far West,Residential,19,0,0,RSL LifeCare Limited,Community Based,Inner Regional Australia,5,11073,Mudgee Region - East,10303,Lithgow - Mudgee,Mid-Western Regional (A),15270,PHN107,Western NSW,-32.85842584,149.97961696,1809093.27,5.0,5.0,5.0,5.0,5.0
Cypress View Lodge,"16-24 Kookaburra AVENUE, COLEAMBALLY, NSW, 2707",COLEAMBALLY,NSW,2707,112,Riverina/Murray,Residential,19,0,0,Cypress View Lodge Limited,Charitable,Outer Regional Australia,5,11257,Griffith Region,11301,Griffith - Murrumbidgee (West),Murrumbidgee (A),15560,PHN110,Murrumbidgee,-34.8086867,145.88038723,1383246.03,4.0,4.0,4.0,3.0,4.0
Lilliane Brady Village Nursing Home,"2 Nullamut STREET, COBAR, NSW, 2835",COBAR,NSW,2835,111,Orana Far West,Residential,19,0,0,Cobar Shire Council,Local Government,Remote Australia,6,11093,Cobar,10501,Bourke - Cobar - Coonamble,Cobar (A),11750,PHN107,Western NSW,-31.50705334,145.8255073,2141375.37,3.0,4.0,3.0,2.0,3.0
Burrowa House,"79 Ford STREET, BOOROWA, NSW, 2586",BOOROWA,NSW,2586,115,Southern Highlands,Residential,20,0,0,Boorowa Hostel Incorporated,Community Based,Inner Regional Australia,5,11544,Young Region,10106,Young - Yass,Hilltops (A),13910,PHN110,Murrumbidgee,-34.442832,148.727783,2102246.72,4.0,4.0,4.0,5.0,3.0
Myoora Homestead Hostel,"1 Keighran STREET, HENTY, NSW, 2658",HENTY,NSW,2658,112,Riverina/Murray,Residential,20,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,5,11175,Albury Region,10901,Albury,Greater Hume Shire (A),13340,PHN110,Murrumbidgee,-35.51555931,147.03181321,2024673.62,5.0,5.0,5.0,5.0,4.0
Richardson House,"24 Gotha STREET, BARRABA, NSW, 2347",BARRABA,NSW,2347,109,New England,Residential,21,0,0,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,5,11205,Tamworth Region,11004,Tamworth - Gunnedah,Tamworth Regional (A),17310,PHN108,Hunter New England and Central Coast,-30.38285943,150.60516315,2225147.06,5.0,5.0,5.0,3.0,5.0
Oolong Hostel,"91-97 Sturt STREET, HOWLONG, NSW, 2643",HOWLONG,NSW,2643,112,Riverina/Murray,Residential,21,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,5,11181,Corowa Region,10903,Upper Murray exc. Albury,Federation (A),12870,PHN110,Murrumbidgee,-35.98010238,146.62448319,1916792.8,5.0,5.0,5.0,5.0,5.0
Woodhaven,"55A Hebden STREET, LOCKHART, NSW, 2656",LOCKHART,NSW,2656,112,Riverina/Murray,Residential,21,0,0,Respect Group Limited,Charitable,Outer Regional Australia,5,11271,Wagga Wagga Region,11303,Wagga Wagga,Lockhart (A),14950,PHN110,Murrumbidgee,-35.22233434,146.71906819,1981945.89,5.0,4.0,5.0,5.0,5.0
Holbrook Hostel,"47-55 Bowler STREET, HOLBROOK, NSW, 2644",HOLBROOK,NSW,2644,112,Riverina/Murray,Residential,21,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,5,11175,Albury Region,10901,Albury,Greater Hume Shire (A),13340,PHN110,Murrumbidgee,-35.72144445,147.31297833,1838168.53,5.0,4.0,5.0,5.0,5.0
Rose Mumbler Village,"55 Judith DRIVE, NORTH NOWRA, NSW, 2541",NORTH NOWRA,NSW,2541,105,Illawarra,Residential,21,0,0,Illaroo Co-operative Aboriginal Corporation,Community Based,Inner Regional Australia,3,11277,North Nowra - Bomaderry,11401,Shoalhaven,Shoalhaven (C),16950,PHN106,South Eastern NSW,-34.85776333,150.57538811,2223074.44,4.0,4.0,4.0,5.0,4.0
Tocumwal Lions Community Hostel,"21-23 Jerilderie STREET, TOCUMWAL, NSW, 2714",TOCUMWAL,NSW,2714,112,Riverina/Murray,Residential,21,0,0,Tocumwal Lions Community Hostel Limited,Charitable,Inner Regional Australia,5,11185,Tocumwal - Finley - Jerilderie,10903,Upper Murray exc. Albury,Berrigan (A),10650,PHN110,Murrumbidgee,-35.81528481,145.56991761,1597044.87,5.0,5.0,5.0,3.0,5.0
Jindera Gardens Hostel,"74-80 Creek STREET, JINDERA, NSW, 2642",JINDERA,NSW,2642,112,Riverina/Murray,Residential,21,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,2,11175,Albury Region,10901,Albury,Greater Hume Shire (A),13340,PHN110,Murrumbidgee,-35.95101441,146.89072457,2292141.17,5.0,4.0,5.0,5.0,4.0
Uralba Retirement Village,"5 Eulamore STREET, CARCOAR, NSW, 2791",CARCOAR,NSW,2791,102,Central West,Residential,22,0,0,Burswood Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,11076,Blayney,10304,Orange,Blayney (A),10850,PHN107,Western NSW,-33.61648451,149.1426066,2422695.17,4.0,4.0,4.0,5.0,3.0
Aubrey Downer Aged Care Home,"23 Sunnyside AVENUE, POINT CLARE, NSW, 2250",POINT CLARE,NSW,2250,101,Central Coast,Residential,23,0,0,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11037,Point Clare - Koolewong,10201,Gosford,Central Coast (C) (NSW),11650,PHN108,Hunter New England and Central Coast,-33.4393194,151.31513493,2600234.88,4.0,3.0,5.0,4.0,5.0
Uniting Taralga,"49-53 Bunnaby STREET, TARALGA, NSW, 2580",TARALGA,NSW,2580,115,Southern Highlands,Residential,23,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,5,11540,Goulburn Region,10105,Goulburn - Mulwaree,Upper Lachlan Shire (A),17640,PHN106,South Eastern NSW,-34.40582572,149.82114393,2137488.24,3.0,4.0,4.0,1.0,3.0
RFBI Bellingen Masonic Village - JJ,"15-23 Watson STREET, BELLINGEN, NSW, 2454",BELLINGEN,NSW,2454,107,Mid North Coast,Residential,24,0,0,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,5,11083,Bellingen,10402,Coffs Harbour,Bellingen (A),10600,PHN109,North Coast,-30.45592416,152.89643239,2487285.87,4.0,4.0,5.0,2.0,2.0
Christophorus House Hostel,"396 Peats Ferry ROAD, HORNSBY, NSW, 2077",HORNSBY,NSW,2077,110,Northern Sydney,Residential,24,0,0,Christophorus House Retirement Village,Community Based,Major Cities of Australia,1,11578,Hornsby - West,12102,Hornsby,Hornsby (A),14000,PHN102,Northern Sydney,-33.691407,151.0973512,2312303.82,4.0,4.0,4.0,5.0,4.0
Haydays Retirement Hostel,"258 Coke STREET, HAY, NSW, 2711",HAY,NSW,2711,112,Riverina/Murray,Residential,24,0,0,Hay Senior Citizens Association Incorporated,Community Based,Outer Regional Australia,5,11177,Hay,10902,Lower Murray,Hay (A),13850,PHN110,Murrumbidgee,-34.501707,144.85199,2006908.96,,5.0,5.0,,3.0
Lilliane Brady Village Hostel,"2 Nullamut STREET, COBAR, NSW, 2835",COBAR,NSW,2835,111,Orana Far West,Residential,24,0,0,Cobar Shire Council,Local Government,Remote Australia,6,11093,Cobar,10501,Bourke - Cobar - Coonamble,Cobar (A),11750,PHN107,Western NSW,-31.50705334,145.8255073,2785626.59,3.0,4.0,3.0,2.0,3.0
Southern Cross Care Lavington Residential Aged Care,"286 Warren STREET, LAVINGTON, NSW, 2641",LAVINGTON,NSW,2641,112,Riverina/Murray,Residential,24,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,2,11176,Lavington,10901,Albury,Albury (C),10050,PHN205,Murray,-36.04239775,146.95415528,2595224.43,4.0,3.0,5.0,5.0,2.0
Wenonah Lodge,"27-31 Mayne STREET, GULGONG, NSW, 2852",GULGONG,NSW,2852,111,Orana Far West,Residential,25,0,0,Gulgong Hostel Association Inc,Community Based,Outer Regional Australia,5,11074,Mudgee Region - West,10303,Lithgow - Mudgee,Mid-Western Regional (A),15270,PHN107,Western NSW,-32.365195,149.541724,2424133.33,4.0,4.0,5.0,4.0,4.0
Murravale Aged Care Facility,"6-10 Haydon STREET, MURRURUNDI, NSW, 2338",MURRURUNDI,NSW,2338,104,Hunter,Residential,25,0,0,Murravale Retirement Home Ltd,Community Based,Outer Regional Australia,5,11129,Scone Region,10604,Upper Hunter,Upper Hunter Shire (A),17620,PHN108,Hunter New England and Central Coast,-31.76757683,150.84200309,2650724.97,4.0,5.0,4.0,2.0,5.0
Southern Cross Care Kildare Residential Aged Care,"216 MAROUBRA ROAD, MAROUBRA, NSW, 2035",MAROUBRA,NSW,2035,113,South East Sydney,Residential,25,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11566,Maroubra - North,11802,Eastern Suburbs - South,Randwick (C),16550,PHN101,Central and Eastern Sydney,-33.94166792,151.2429085,3085293.93,4.0,3.0,5.0,5.0,4.0
Lee Roshana Care,"1 Queen STREET, BLAYNEY, NSW, 2799",BLAYNEY,NSW,2799,102,Central West,Residential,27,0,0,Burswood Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,11076,Blayney,10304,Orange,Blayney (A),10850,PHN107,Western NSW,-33.53726554,149.24990516,3022513.76,4.0,3.0,4.0,5.0,3.0
Catholic Healthcare George Mockler Hostel,"99 Elimatta ROAD, MONA VALE, NSW, 2103",MONA VALE,NSW,2103,110,Northern Sydney,Residential,28,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11423,Warriewood - Mona Vale,12202,Pittwater,Northern Beaches (A),15990,PHN102,Northern Sydney,-33.67998269,151.29691386,2996321.41,4.0,4.0,5.0,4.0,5.0
Touriandi Limited,"4 Borah ROAD, BINGARA, NSW, 2404",BINGARA,NSW,2404,109,New England,Residential,28,0,0,Touriandi Limited,Community Based,Outer Regional Australia,5,11193,Inverell Region - West,11002,Inverell - Tenterfield,Gwydir (A),13660,PHN108,Hunter New England and Central Coast,-29.8650554,150.576559,2772225.46,5.0,5.0,5.0,3.0,5.0
Prunus Lodge,"11 Bells LANE, MOLONG, NSW, 2866",MOLONG,NSW,2866,102,Central West,Residential,28,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,5,11079,Orange Region,10304,Orange,Cabonne (A),11400,PHN107,Western NSW,-33.09053355,148.86741324,2988750.83,4.0,5.0,4.0,5.0,3.0
Catholic Healthcare Bethlehem House,"30 Montgomery STREET, KOGARAH, NSW, 2217",KOGARAH,NSW,2217,113,South East Sydney,Residential,29,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11378,Kogarah,11904,Kogarah - Rockdale,Georges River (A),12930,PHN101,Central and Eastern Sydney,-33.96392074,151.13459968,4319750.11,5.0,5.0,5.0,4.0,5.0
Bolton Clarke Riverwood,"990 Padman DRIVE, WEST ALBURY, NSW, 2640",WEST ALBURY,NSW,2640,112,Riverina/Murray,Residential,29,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,2,11174,Albury - South,10901,Albury,Albury (C),10050,PHN205,Murray,-36.07768123,146.89104381,2776598.31,4.0,5.0,4.0,4.0,5.0
Rosedurnate Aged Care Plus Centre (2503),"46 Orange STREET, PARKES, NSW, 2870",PARKES,NSW,2870,102,Central West,Residential,29,0,0,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,4,11067,Parkes (NSW),10302,Lachlan Valley,Parkes (A),16200,PHN107,Western NSW,-33.13824782,148.18443142,2133522.75,,,,,
Catholic Healthcare Vincentian Aged Care Service,"48 Yurong STREET, DARLINGHURST, NSW, 2010",DARLINGHURST,NSW,2010,113,South East Sydney,Residential,30,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11329,Darlinghurst,11703,Sydney Inner City,Sydney (C),17200,PHN101,Central and Eastern Sydney,-33.87557328,151.21416303,4410502.98,4.0,4.0,5.0,4.0,5.0
